Sigla,Código,Estado,2021.01,2021.02,2021.03,2021.04,2021.05,2021.06,2021.07,2021.08,2021.09
AC,12,Acre,2388,2906,2385,2592,3765,3109,3412,3329,4216
AL,27,Alagoas,9258,8918,9812,8521,9790,11443,11955,14212,25389
AM,13,Amazonas,13581,10402,14738,14329,15537,17514,20640,19883,18207
AP,16,Amapá,1744,1940,1918,1368,2024,2068,2519,2672,2571
BA,29,Bahia,56838,60982,57868,52539,56534,54517,57409,63400,61793
CE,23,Ceará,39129,43218,34741,30404,31597,38045,43072,48232,47068
DF,53,Distrito Federal,23713,24585,22998,22611,24224,27057,28891,31425,29890
ES,32,Espírito Santo,29624,32332,33472,25100,33369,32850,32772,36738,33663
GO,52,Goiás,55956,58791,51285,53389,56390,59649,59457,62950,61742
MA,21,Maranhão,14771,15756,15557,14806,15415,18472,17856,17517,17025
MG,31,Minas Gerais,157046,182895,181792,149767,166936,172521,182066,196801,186711
MS,50,Mato Grosso do Sul,19455,23660,23867,21078,21993,20856,22272,23509,23785
MT,51,Mato Grosso,39289,39955,36313,31263,36562,42378,43240,41162,41343
PA,15,Pará,25208,28634,28704,25251,31805,34225,33451,36092,33544
PB,25,Paraíba,11857,13230,12955,10683,12107,11956,13738,20134,15249
PE,26,Pernambuco,35112,38866,35392,32397,35642,34792,37287,47637,58708
PI,22,Piauí,8778,10092,8191,8337,9303,11202,9393,10277,10109
PR,41,Paraná,120422,146014,126517,109602,118151,117295,123891,138780,131608
RJ,33,Rio de Janeiro,89242,95661,102930,80954,96806,96797,104251,114137,108530
RN,24,Rio Grande do Norte,14261,14495,15362,12380,12854,15004,15902,19127,17487
RO,11,Rondônia,8186,9452,8782,8274,9882,11521,11791,11985,11233
RR,14,Roraima,2509,2337,2423,2289,2437,2816,2664,3166,2995
RS,43,Rio Grande do Sul,110063,117994,113580,89512,96519,98822,106501,109402,106815
SC,42,Santa Catarina,124389,132831,125425,103072,108491,110238,113941,125773,124105
SE,28,Sergipe,7191,7374,7424,6110,6387,6970,7056,8341,13495
SP,35,São Paulo,500552,563624,526725,458671,526921,541379,543082,595533,584334
TO,17,Tocantins,6501,7595,6825,6409,7231,7377,7666,8204,8523
